mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.25092887878418,2.2171276959214583,0.03873410224914551,0.0028093627192272604,100,2,2,0.8,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 10}",-7.2043119128012245,-5.108798805893079,-5.292190684925865,-6.287093863293503,-6.321174738213496,-6.042714001025433,0.7644677164651958,46
8.474233293533326,4.325284593796394,0.07406406402587891,0.008111152029940538,200,2,5,0.8,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': 10}",-7.16501911862729,-5.0222161574999085,-5.289281371020771,-6.291981541698605,-6.392482633476093,-6.032196164464533,0.7813532661020051,39
13.360027408599853,7.980236438689665,0.12388424873352051,0.00936497243610528,200,10,2,0.8,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",-7.333967754945645,-5.084476276201971,-5.182782219380315,-6.1624891117238585,-6.448437207633036,-6.0424305139769645,0.8371374390229449,45
24.33200373649597,12.745761667851035,0.31240024566650393,0.0474128439312873,500,2,1,0.5,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",-6.7920124420236085,-4.704988028840482,-4.96214025293201,-6.036452625879352,-6.528041369144764,-5.804726943764043,0.8331855996539802,27
2.2738207817077636,1.048271466632021,0.0627436637878418,0.014216698642402442,100,2,2,log2,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-6.686581528654269,-4.742257802306909,-4.564017505968291,-6.355045265215542,-6.615366501200808,-5.792653720669163,0.9386294293173423,21
22.947987270355224,11.661442864457378,0.2841472625732422,0.03315425518985319,500,2,2,0.5,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",-6.796961100050849,-4.807369121554095,-5.003883134485063,-6.086314771655777,-6.51150323077734,-5.841206271704625,0.7990960857308878,34
31.623380613327026,15.826669561278926,0.2606231212615967,0.037856407515240345,500,5,5,0.8,30,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': 30}",-7.253330000518554,-5.0817973457086865,-5.182098102003624,-6.139517942604576,-6.4416207126908755,-6.019672820705263,0.8118441636308326,38
2.100209283828735,1.1325781613477897,0.05446372032165527,0.008175333073313178,100,2,5,log2,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': None}",-6.5990195006522985,-4.638107794266523,-4.560040279395187,-6.522589251649205,-6.506565782376715,-5.765264521667985,0.9530229202951025,14
6.8512121677398685,4.299629558973793,0.06543593406677246,0.005585170533865167,100,10,5,0.8,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': None}",-7.314078360956237,-4.997914130188068,-5.250940768056545,-6.223647211062736,-6.391158615459766,-6.03554781714467,0.8353170252204453,40
15.059496068954468,8.891245518056513,0.12774271965026857,0.016258840758322752,200,5,5,0.8,30,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': 30}",-7.270257316152541,-5.013469472260215,-5.182239523942998,-6.173348112487377,-6.447796380744317,-6.017422161117489,0.834815169462462,37
15.731100797653198,7.6060893302868235,0.28761801719665525,0.02689849236910674,500,5,1,sqrt,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",-6.657051832904304,-4.6710617934504395,-4.6361432948224826,-6.473598978012289,-6.6704914565346645,-5.821669471144835,0.9563205401808735,31
6.282324314117432,3.7075477517532502,0.10224695205688476,0.014054933919488083,200,2,5,log2,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 30}",-6.545741762187979,-4.652068682715215,-4.617023189461473,-6.447244612507747,-6.538993962313136,-5.7602144418371095,0.9198298137057996,12
5.124060249328613,2.352808041580566,0.055625534057617186,0.006186052341124656,100,2,2,sqrt,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-6.686581528654269,-4.742257802306909,-4.564017505968291,-6.355045265215542,-6.615366501200808,-5.792653720669163,0.9386294293173423,21
19.265602159500123,7.349224023104065,0.146859073638916,0.0488540690205274,500,2,5,0.8,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': 10}",-7.187898121266107,-5.061522026518027,-5.307471586381003,-6.2971689813662985,-6.392322551476119,-6.049276653401511,0.7747933791558592,48
2.6833003997802733,1.3482361005645147,0.06365303993225098,0.0018708569413269755,200,2,2,log2,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",-6.56129890597859,-4.657173041230506,-4.3899741607474345,-6.633362630024302,-6.339086082667904,-5.716178964129748,0.9822198935747398,4
6.123862552642822,3.3836786072292218,0.062292861938476565,0.004317554228294778,100,5,5,0.8,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.8, 'max_depth': None}",-7.314078360956237,-4.997914130188068,-5.250940768056545,-6.223647211062736,-6.391158615459766,-6.03554781714467,0.8353170252204453,40
6.2814818859100345,3.405340312430131,0.0588109016418457,0.007213721403726293,100,10,2,0.8,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",-7.3205779864318865,-5.110703766078309,-5.177813313438383,-6.161339223324118,-6.4651936483569985,-6.047125587525939,0.8297103504152722,47
2.64306697845459,1.3423614874420968,0.03526010513305664,0.0016029476069333072,100,2,1,0.5,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10}",-6.58769913704659,-4.733456153470898,-5.101373547413191,-6.264150705239233,-6.297740357342617,-5.796883980102505,0.7360974690798345,25
6.444700860977173,3.01956439364116,0.14885444641113282,0.014045782011857806,300,5,2,log2,20,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-6.575858679597182,-4.709573937140512,-4.632908127676058,-6.408286346255951,-6.585938253882569,-5.782513068910454,0.9098649770022889,17
4.296218633651733,2.0941294683112175,0.0965341567993164,0.009610788830794813,200,10,2,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-6.5738066875054,-4.616594103452511,-4.6251696828247075,-6.396421740608547,-6.6084484320244705,-5.764088129283127,0.9361957089612271,13
19.750912618637084,9.911555875135553,0.2482473373413086,0.017009732196298158,500,2,1,0.5,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",-6.848109863947071,-4.753906806649368,-4.970080752244222,-6.159006144603767,-6.591007991102259,-5.864422311709338,0.8503457057566886,36
