mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7429958820343018,0.036161817811152484,0.008554983139038085,0.00015504603455142953,1.0,1.0,0.0,200,5,8,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-4.945512294418368,-4.472659989505976,-3.3210096355341876,-4.706520642392739,-4.450739764262151,-4.379288465222684,0.5588323422230935,41
3.046320581436157,0.5116811313275391,0.012831735610961913,0.0006771765325777977,0.9,2.0,0.1,300,5,12,0.2,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.2, 'colsample_bytree': 0.7}",-5.428152388461523,-4.207388266074292,-3.449207860137979,-4.986036364666383,-4.7245081720733095,-4.5590586102826975,0.681241260361825,45
2.3681644439697265,0.9233284747483013,0.01340947151184082,0.0013565844566574856,0.6,2.0,0.01,300,5,10,0.1,0.9,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-5.156915820557169,-4.015173037726608,-3.4024764686055002,-4.882113437495216,-4.517498839172438,-4.3948355207113865,0.626445932316072,43
1.6948174476623534,0.23883074822779438,0.009598779678344726,0.0006597575578669618,0.7,1.0,0.0,100,1,12,0.01,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",-4.9416057301618395,-3.4742139522358397,-3.3794707860498603,-5.2007034159905166,-4.7522668875458525,-4.349652154396781,0.7673903625092395,39
0.4052344799041748,0.01867359442410317,0.0069730281829833984,0.00021604512368637743,0.9,1.0,0.01,100,7,8,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.6249109986755155,-3.7750847125397042,-3.2272595142085163,-4.454252063817886,-4.30108588130005,-4.076518634108334,0.5110676353971648,19
1.2193506717681886,0.12956388738927185,0.010999679565429688,0.0008779917147197894,0.7,1.0,0.0,200,7,10,0.1,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-5.18209965745209,-3.855940228244332,-3.303829464494318,-4.605047921605861,-4.4152732046878995,-4.2724380952969,0.6434576094225988,35
0.33463315963745116,0.0058010915007967396,0.008246278762817383,0.00026195749646021034,1.0,1.0,0.0,200,7,4,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-5.0174462163815265,-3.3625030493343977,-3.1771313258293556,-4.26689140584729,-4.211806803442905,-4.007155760167095,0.6685131472529735,16
0.8047667026519776,0.014981155404784187,0.013419294357299804,0.0006217703053508711,0.8,0.5,0.01,500,7,4,0.2,0.9,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'colsample_bytree': 0.9}",-6.465504607509607,-4.219821356895562,-3.6495264442079485,-4.757372514279229,-4.493469339614358,-4.717138852501341,0.9482141696471745,48
0.8877339839935303,0.7885701656488734,0.012184047698974609,0.002224153086525624,0.6,1.0,0.01,300,3,4,0.03,0.6,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-4.729638512727059,-3.1330252035941584,-3.0024071918655038,-4.1492201648120774,-4.158895963022512,-3.834637407204262,0.6618156415301657,6
0.4445324420928955,0.0229655609004033,0.007082414627075195,0.0002202510472421726,0.7,2.0,0.01,100,7,8,0.03,0.8,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-4.253129924697044,-3.162023391929948,-3.0112418900961138,-4.274314438441123,-4.216928192695462,-3.783527567571938,0.5713014679251585,3
0.7607925415039063,0.011080733797963599,0.012517356872558593,0.0025475498265580417,0.9,2.0,0.01,300,1,6,0.05,1.0,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-4.831472661525396,-3.6947805246785768,-3.2647629516281724,-4.487701550343612,-4.256613294598169,-4.107066196554785,0.5606186877417979,21
0.26004796028137206,0.007592482384633167,0.00682830810546875,0.00017427220676584802,0.9,2.0,0.0,100,3,6,0.2,1.0,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-5.019475037158576,-3.8937364463010002,-3.2861912903960837,-4.690525348991679,-4.331625685438894,-4.244310761657246,0.6080306373326602,32
1.1896527767181397,0.19318280458605266,0.009539413452148437,0.00041709991527894236,0.8,1.0,0.0,100,7,12,0.05,0.6,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-5.010169779238892,-3.475853308021502,-3.181454081288752,-4.386610892677724,-4.282245548184274,-4.067266721882229,0.6590442520925887,18
2.0735909938812256,0.07970243721665386,0.016835594177246095,0.0011395338000252816,0.8,0.5,0.01,500,1,8,0.05,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-5.412975273567667,-3.887213352466402,-3.408769206842216,-4.658814259334569,-4.412393298836593,-4.35603307820949,0.6825072160328762,40
2.4812478542327883,0.8115896915367456,0.016415166854858398,0.000479815773931588,1.0,0.5,0.1,500,5,8,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-4.4294838197998265,-3.7102956493803587,-3.143721139327931,-4.361919080820314,-4.273645482282108,-3.9838130343221083,0.4911528542556983,15
5.140380620956421,0.8065847709143718,0.01835031509399414,0.0009678707672537909,0.7,2.0,0.01,500,5,12,0.03,0.8,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-4.826734894928831,-3.6921776595975078,-3.2551310301173717,-4.603516321498765,-4.370358254971666,-4.1495836322228286,0.5869575511455742,25
0.5049933910369873,0.010921547269836384,0.009120368957519531,0.00016506175397575123,0.8,1.0,0.0,200,3,6,0.03,1.0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-4.502609183788493,-3.331814939527379,-3.0408576064262167,-4.263834773980268,-4.209957950356261,-3.8698148908157237,0.5741065603927886,10
4.3718348979949955,0.5868238225779736,0.017924928665161134,0.0011595349937512883,0.8,0.5,0.0,500,1,10,0.03,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-4.761465112269282,-3.8182047617404256,-3.256817226459714,-4.633873245766373,-4.37358769394631,-4.1687896080364215,0.5593054011191441,28
3.570663022994995,1.1984917459172086,0.014254474639892578,0.0005094840382230266,0.9,0.5,0.01,300,5,12,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-4.970270532615168,-3.9526117681193753,-3.380670910329513,-4.835205425403757,-4.533058415870264,-4.334363410467615,0.5916018928892095,37
